Cherry Crumble	Buttery Ice Cream with Cherries & Swirls of Oat Crumble	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/cherry-crumble-landing-open.png
Dublin Mudslide	Irish Cream Ice Cream with Chocolate Chocolate Chip Cookies & Coffee Fudge Swirls	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/dublin-mudslide-landing-open.png
Change is Brewing	Cold Brew Coffee Ice Cream with Marshmallow Swirls & Fudge Brownies	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/change-is-brewing-landing-open.png
Chewy Gooey Cookie​	Milk Chocolate & Coconut Ice Creams with Fudge Flakes, Shortbread Cookies & Caramel Swirls	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/chewy-gooey-cookie-landing-open.png
Mint Chocolate Chance™	Mint Ice Cream Loaded with Fudge Brownies	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/mint-chocolate-chance-landing-open.png
Dirt Cake	Vanilla Pudding Ice Cream with Chocolate Sandwich Cookies & Chocolate Cookie Swirls Topped with Milk Chocolatey Ganache & Chocolate Cookie Crumble	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/dirt-cake-topped-landing-open.png
Chocolate Milk & Cookies	Chocolate Ice Cream with Chocolate Chip Cookies & Chocolate Cookie Swirls Topped with Milk Chocolatey Ganache & Fudge Chips	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/chocolate-milk-cookies-topped-landing-open.png
Americone Dream®	Vanilla Ice Cream with Fudge-Covered Waffle Cone Pieces & a Caramel Swirl	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/americone-dream-landing-open.png
Brewed to Matter™	Coffee Ice Cream with Fudge Chunks & a Brownie Batter Swirl	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/brewed-to-matter-landing-open.png
Cannoli	Mascarpone Ice Cream with Fudge-Covered Pastry Shell Pieces & Mascarpone Swirls	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/cannoli-landing-open.png
Caramel Chocolate Cheesecake	Caramel Cheesecake Ice Cream with Cheesecake Pieces & Chocolate Cookie Swirls	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/caramel-chocolate-cheesecake-landing-open.png
Cherry Garcia®	Cherry Ice Cream with Cherries & Fudge Flakes	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/cherry-garcia-landing-open.png
Chocolate Chip Cookie Dough	Vanilla Ice Cream with Gobs of Chocolate Chip Cookie Dough	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/choc-chip-cookie-dough-landing-open.png
Chocolate Fudge Brownie	Chocolate Ice Cream with Fudge Brownies	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/chocolate-fudge-brownie-landing-open.png
Chocolate Peanut Butter Split	Chocolate & Banana Ice Creams with Mini Peanut Butter Cups	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/chocolate-peanut-butter-split-landing-open.png
Chocolate Shake It™	Chocolate Malt Milkshake Ice Cream With Salted Fudge Pieces & Marshmallow Swirls	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/chocolate-shake-it-landing-open.png
